"species","SVL_cm","TL_cm","Ventrals","Subcaudals","Head._Length_mm","Head_Width_mm","Body_Width_mm","N_scales_bordering_L_parietals","N_scales_bordering_R_parietals","White_Ventral_Annuli_Bordering_Ventral_Black","Ventral_Annuli_In_BlackBand","X.Dorsal_Annuli_OR_juvenile_dorsal_black_bands","Ventral_Black_Bands","Ventral_Lower_Lower_ScCount","Ventral_Black_Upper_ScCount","Ventral_Orange_Lower_ScCount","Ventral_Orange_Upper_ScCount","Temporal_Pigmentation","Annulus.on.dorsal.black.tail.bands","Upper.temporal.divided"
"cf_mcclungi",3.5945687746427,0.695145183222618,5.42934562895444,2.83321334405622,2.18041745901984,1.61938824328727,1.73577683441836,1.09861228866811,0.693147180559945,0.693147180559945,1.38629436111989,3.66356164612965,2.99573227355399,1.38629436111989,1.38629436111989,1.94591014905531,2.07944154167984,1.09861228866811,0.693147180559945,0.693147180559945
"calligaster",3.55820113047182,0.758466646680588,5.54907608489522,2.99573227355399,1.99470031322475,1.56444054650336,1.52315354390976,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,3.95124371858143,3.3322045101752,1.09861228866811,1.09861228866811,1.79175946922805,1.94591014905531,1.09861228866811,0.693147180559945,0.693147180559945
"calligaster",3.7864597824528,0.587786664902119,5.54907608489522,2.56494935746154,2.29857707159651,1.68268837417369,1.66581824587021,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,3.87120101090789,3.17805383034795,0.693147180559945,1.09861228866811,1.94591014905531,2.19722457733622,1.09861228866811,0.693147180559945,0.693147180559945
"calligaster",3.78759292704997,0.893226792275603,5.44673737166631,2.99573227355399,2.09433015417359,1.85473426838944,1.9643112344262,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,3.98898404656427,3.36729582998647,0.693147180559945,1.09861228866811,1.6094379124341,1.79175946922805,1.09861228866811,0.693147180559945,0.693147180559945
"calligaster",3.93769075217672,1.09861228866811,5.41164605185504,2.99573227355399,2.52812576890798,2.14826773260969,2.2163007243607,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,3.78418963391826,3.13549421592915,1.09861228866811,1.38629436111989,1.79175946922805,1.94591014905531,1.09861228866811,0.693147180559945,0.693147180559945
"cf_mcclungi",3.88977739648083,0.842859453788272,5.40717177146012,2.89037175789616,2.24601474150565,1.8961194845523,2.02551319965428,1.09861228866811,1.38629436111989,0.693147180559945,1.38629436111989,3.97029191355212,3.3322045101752,1.09861228866811,1.38629436111989,1.6094379124341,1.94591014905531,1.09861228866811,1.6094379124341,1.6094379124341
"cf_mcclungi",4.02535169073515,1.01160091167848,5.54126354515843,3.04452243772342,2.29958058397375,1.80500469597808,1.88908781313821,1.38629436111989,1.6094379124341,0.693147180559945,1.38629436111989,3.98898404656427,3.3322045101752,0.693147180559945,1.09861228866811,1.6094379124341,1.94591014905531,1.09861228866811,0.693147180559945,1.09861228866811
"calligaster",3.68512240523622,0.993251773010283,5.4380793089232,2.94443897916644,2.09556092355972,1.90210752639692,2.01933761756588,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,3.98898404656427,3.3322045101752,0.693147180559945,1.09861228866811,1.6094379124341,1.79175946922805,1.09861228866811,0.693147180559945,0.693147180559945
"cf_mcclungi",3.89284018601137,0.993251773010283,5.54907608489522,2.83321334405622,2.28238238567653,1.85473426838944,2.02022218201986,1.09861228866811,1.09861228866811,0.693147180559945,1.38629436111989,3.87120101090789,3.17805383034795,1.09861228866811,1.38629436111989,1.94591014905531,2.07944154167984,1.09861228866811,1.6094379124341,1.6094379124341
"cf_mcclungi",4.01005674569951,1.02997649627797,5.41610040220442,3.04452243772342,2.42303124606991,2.05923883436232,2.2748712544608,1.09861228866811,1.09861228866811,1.6094379124341,1.38629436111989,3.93182563272433,3.29583686600433,1.09861228866811,1.38629436111989,1.6094379124341,1.79175946922805,1.09861228866811,0.693147180559945,0.693147180559945
